UID,Title,Rating
0111161,The Shawshank Redemption,9.3
0068646,The Godfather,9.2
0071562,The Godfather: Part II,9.0
0468569,The Dark Knight,9.0
0050083,12 Angry Men,8.9
0108052,Schindler's List,8.9
0167260,The Lord of the Rings: The Return of the King,8.9
0110912,Pulp Fiction,8.9
0060196,"The Good, the Bad and the Ugly",8.8
0120737,The Lord of the Rings: The Fellowship of the Ring,8.8
0137523,Fight Club,8.8
0109830,Forrest Gump,8.8
1375666,Inception,8.8
0080684,Star Wars: Episode V - The Empire Strikes Back,8.7
0167261,The Lord of the Rings: The Two Towers,8.7
0133093,The Matrix,8.7
0099685,Goodfellas,8.7
0073486,One Flew Over the Cuckoo's Nest,8.7
0047478,Seven Samurai,8.6
0114369,Se7en,8.6
0317248,City of God,8.6
0118799,Life Is Beautiful,8.6
0102926,The Silence of the Lambs,8.6
0038650,It's a Wonderful Life,8.6
6751668,Parasite,8.6
0076759,Star Wars: Episode IV - A New Hope,8.6
0120815,Saving Private Ryan,8.6
0245429,Spirited Away,8.6
0120689,The Green Mile,8.6
0816692,Interstellar,8.6
0110413,Léon: The Professional,8.5
0114814,The Usual Suspects,8.5
0056058,Harakiri,8.7
0110357,The Lion King,8.5
0120586,American History X,8.5
0103064,Terminator 2: Judgment Day,8.5
0088763,Back to the Future,8.5
0253474,The Pianist,8.5
0027977,Modern Times,8.5
0054215,Psycho,8.5
0172495,Gladiator,8.5
0021749,City Lights,8.5
1675434,The Intouchables,8.5
0407887,The Departed,8.5
2582802,Whiplash,8.5
0482571,The Prestige,8.5
0064116,Once Upon a Time in the West,8.5
7286456,Joker,8.5
0095327,Grave of the Fireflies,8.5
0034583,Casablanca,8.5
0047396,Rear Window,8.4
0095765,Cinema Paradiso,8.5
0078748,Alien,8.4
0078788,Apocalypse Now,8.4
0082971,Raiders of the Lost Ark,8.4
0209144,Memento,8.4
0032553,The Great Dictator,8.4
0405094,The Lives of Others,8.4
1853728,Django Unchained,8.4
4154756,Avengers: Infinity War,8.5
0050825,Paths of Glory,8.4
0081505,The Shining,8.4
0910970,WALL·E,8.4
8579674,1917,8.4
4633694,Spider-Man: Into the Spider-Verse,8.4
0043014,Sunset Blvd.,8.4
0119698,Princess Mononoke,8.4
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4
4154796,Avengers: Endgame,8.4
0364569,Oldboy,8.4
0051201,Witness for the Prosecution,8.4
1345836,The Dark Knight Rises,8.4
0087843,Once Upon a Time in America,8.4
0090605,Aliens,8.3
5311514,Your Name.,8.4
0169547,American Beauty,8.3
2380307,Coco,8.4
0112573,Braveheart,8.3
0082096,Das Boot,8.3
1187043,3 Idiots,8.4
0114709,Toy Story,8.3
0057565,High and Low,8.5
0986264,Like Stars on Earth,8.4
0086190,Star Wars: Episode VI - Return of the Jedi,8.3
0086879,Amadeus,8.3
0105236,Reservoir Dogs,8.3
0361748,Inglourious Basterds,8.3
0119217,Good Will Hunting,8.3
0062622,2001: A Space Odyssey,8.3
0180093,Requiem for a Dream,8.3
0022100,M,8.3
0052357,Vertigo,8.3
5074352,Dangal,8.4
0338013,Eternal Sunshine of the Spotless Mind,8.3
0033467,Citizen Kane,8.3
2106476,The Hunt,8.3
0093058,Full Metal Jacket,8.3
0053125,North by Northwest,8.3
0066921,A Clockwork Orange,8.3
0208092,Snatch,8.3
0012349,The Kid,8.3
0040522,Bicycle Thieves,8.3
0045152,Singin' in the Rain,8.3
0086250,Scarface,8.3
0075314,Taxi Driver,8.3
0211915,Amélie,8.3
0056172,Lawrence of Arabia,8.3
0435761,Toy Story 3,8.3
0070735,The Sting,8.3
8267604,Capernaum,8.4
0017136,Metropolis,8.3
0059578,For a Few Dollars More,8.3
0044741,Ikiru,8.3
1832382,A Separation,8.3
0036775,Double Indemnity,8.3
0056592,To Kill a Mockingbird,8.2
0053604,The Apartment,8.3
0097576,Indiana Jones and the Last Crusade,8.2
1255953,Incendies,8.3
1049413,Up,8.2
0119488,L.A. Confidential,8.2
0071853,Monty Python and the Holy Grail,8.2
0113277,Heat,8.2
0095016,Die Hard,8.2
0042876,Rashomon,8.2
0055630,Yojimbo,8.2
0372784,Batman Begins,8.2
0105695,Unforgiven,8.2
0363163,Downfall,8.2
6966692,Green Book,8.2
0118849,Children of Heaven,8.3
0053291,Some Like It Hot,8.2
0091251,Come and See,8.3
0347149,Howl's Moving Castle,8.2
0089881,Ran,8.2
0057115,The Great Escape,8.2
0042192,All About Eve,8.2
0268978,A Beautiful Mind,8.2
0112641,Casino,8.2
0096283,My Neighbor Totoro,8.2
0457430,Pan's Labyrinth,8.2
0081398,Raging Bull,8.2
1305806,The Secret in Their Eyes,8.2
0120735,"Lock, Stock and Two Smoking Barrels",8.2
0993846,The Wolf of Wall Street,8.2
0040897,The Treasure of the Sierra Madre,8.2
0055031,Judgment at Nuremberg,8.2
5027774,"Three Billboards Outside Ebbing, Missouri",8.2
0469494,There Will Be Blood,8.2
0071315,Chinatown,8.2
0015864,The Gold Rush,8.2
0476735,My Father and My Son,8.3
0046912,Dial M for Murder,8.2
0434409,V for Vendetta,8.2
0050976,The Seventh Seal,8.2
2096673,Inside Out,8.2
0477348,No Country for Old Men,8.1
1291584,Warrior,8.2
0117951,Trainspotting,8.1
0080678,The Elephant Man,8.1
1130884,Shutter Island,8.1
0167404,The Sixth Sense,8.1
3170832,Room,8.1
0084787,The Thing,8.1
0031381,Gone with the Wind,8.1
0107290,Jurassic Park,8.1
0083658,Blade Runner,8.1
0050212,The Bridge on the River Kwai,8.1
0041959,The Third Man,8.1
0266543,Finding Nemo,8.1
0050986,Wild Strawberries,8.2
0047296,On the Waterfront,8.1
0116282,Fargo,8.1
0266697,Kill Bill: Vol. 1,8.1
1205489,Gran Torino,8.1
0120382,The Truman Show,8.1
0079944,Stalker,8.2
0077416,The Deer Hunter,8.1
0046438,Tokyo Story,8.2
3011894,Wild Tales,8.1
0353969,Memories of Murder,8.1
0116231,The Bandit,8.3
0118715,The Big Lebowski,8.1
8108198,Andhadhun,8.3
0978762,Mary and Max,8.1
4729430,Klaus,8.2
0107207,In the Name of the Father,8.1
1950186,Ford v Ferrari,8.1
2267998,Gone Girl,8.1
2119532,Hacksaw Ridge,8.1
2278388,The Grand Budapest Hotel,8.1
0031679,Mr. Smith Goes to Washington,8.1
0017925,The General,8.1
0892769,How to Train Your Dragon,8.1
0015324,Sherlock Jr.,8.2
0112471,Before Sunrise,8.1
0060827,Persona,8.1
0264464,Catch Me If You Can,8.1
1392214,Prisoners,8.1
2024544,12 Years a Slave,8.1
0061512,Cool Hand Luke,8.1
0046268,The Wages of Fear,8.1
1392190,Mad Max: Fury Road,8.1
0074958,Network,8.1
0758758,Into the Wild,8.1
0092005,Stand by Me,8.1
0079470,Monty Python's Life of Brian,8.1
0072684,Barry Lyndon,8.1
0091763,Platoon,8.1
0405159,Million Dollar Baby,8.1
1028532,Hachi: A Dog's Tale,8.1
0019254,The Passion of Joan of Arc,8.1
1979320,Rush,8.1
0052618,Ben-Hur,8.1
3315342,Logan,8.1
0060107,Andrei Rublev,8.2
1201607,Harry Potter and the Deathly Hallows: Part 2,8.1
0405508,Rang De Basanti,8.2
0097165,Dead Poets Society,8.1
0053198,The 400 Blows,8.1
0087544,Nausicaä of the Valley of the Wind,8.1
0245712,Amores Perros,8.1
0395169,Hotel Rwanda,8.1
1895587,Spotlight,8.1
4016934,The Handmaiden,8.1
0032976,Rebecca,8.1
0075148,Rocky,8.1
0198781,"Monsters, Inc.",8.0
0113247,La Haine,8.1
0025316,It Happened One Night,8.1
0043338,Ace in the Hole,8.1
0040725,The Red Shoes,8.2
0093779,The Princess Bride,8.1
0118694,In the Mood for Love,8.1
0381681,Before Sunset,8.0
1454029,The Help,8.1
1954470,Gangs of Wasseypur,8.2
0042041,White Heat,8.1
0169102,Lagaan: Once Upon a Time in India,8.1
0088247,The Terminator,8.0
0064115,Butch Cassidy and the Sundance Kid,8.0
0087884,"Paris, Texas",8.1
0094625,Akira,8.0
0103639,Aladdin,8.0
4857264,The Invisible Guest,8.1
2338151,PK,8.1
2015381,Guardians of the Galaxy,8.0
0107048,Groundhog Day,8.0
4430212,Drishyam,8.2
0169858,Neon Genesis Evangelion: The End of Evangelion,8.1
