Movie,UID
Indiana Jones: Raiders of the Lost Ark,0082971
HP: Deathly Hallows Pt 1,0926084
POTC: At World's End,0449088
Avatar,0499549
The Lion King,0110357
Monsters Inc,0198781
Mulan,0120762
Aladdin,0103639
Dumb and Dumber,0109686
Beauty and the Beast (Live Action),0101414
ET,0083866
Ex Machina,0470752
8 Mile,0298203
Shawshank Redemption,0111161
The Room,0368226
Shooter,0822854
Jumanji,0113497
Star Wars: The Last Jedi,2527336
The Killing of a Sacred Deer,5715874
Fargo,0116282
Spiderman: Homecoming,2250912
Hellboy,0167190
Baby Driver,3890160
The Virgin Suicides,0159097
Shutter Island,1130884
Knives Out,8946378
Pan's Labyrinth,0457430
Ford v Ferrari,1950186
Behind Enemy Lines,0159273
The Internship,2234155
Once Upon a Time in Hollywood,7131622
Jojo Rabbit,2584384
